,Common Name,Scientific Name,Date Sighted,Location Name,Num Sighted,Latitude,Longitude,Year,State
717,Spotted Sandpiper,Actitis macularius,2017-09-26 14:30,Cavitt's Creek Park,1,37.1712944,-81.5110338,2017,US-VA
718,Northern Parula,Setophaga americana,2017-09-26 12:00,James River Park--Reedy Creek,1,37.5244459,-77.4683332,2017,US-VA
719,Solitary Sandpiper,Tringa solitaria,2017-09-26 11:48,"Bells Ln, Staunton US-VA (38.1696,-79.0177)",2,38.169633,-79.017654,2017,US-VA
720,Mute Swan,Cygnus olor,2017-09-26 10:57,Aquia Landing Park,7,38.3889073,-77.3157424,2017,US-VA
721,gull sp.,Larinae sp.,2017-09-26 10:57,Aquia Landing Park,5,38.3889073,-77.3157424,2017,US-VA
722,tern sp.,Sterninae sp.,2017-09-26 10:57,Aquia Landing Park,29,38.3889073,-77.3157424,2017,US-VA
723,Northern Waterthrush,Parkesia noveboracensis,2017-09-26 10:57,Aquia Landing Park,1,38.3889073,-77.3157424,2017,US-VA
724,swallow sp.,Hirundinidae sp.,2017-09-26 10:35,Moore Land Road,3,38.5914828,-78.7099385,2017,US-VA
725,Blue Grosbeak,Passerina caerulea,2017-09-26 10:35,Moore Land Road,1,38.5914828,-78.7099385,2017,US-VA
726,Hermit Thrush,Catharus guttatus,2017-09-26 10:27,Grayson Highlands State Park,1,36.6238689,-81.4998436,2017,US-VA
727,Brown-headed Nuthatch,Sitta pusilla,2017-09-26 10:22,"Martin Yard, Chincoteague",1,37.9274452,-75.3730345,2017,US-VA
728,Cape May Warbler,Setophaga tigrina,2017-09-26 10:22,"Martin Yard, Chincoteague",2,37.9274452,-75.3730345,2017,US-VA
729,Wild Turkey,Meleagris gallopavo,2017-09-26 10:07,Creekside Cabin. Helton Creek Rd. ,10,36.581754,-81.519424,2017,US-VA
730,Black-billed Cuckoo,Coccyzus erythropthalmus,2017-09-26 10:07,Creekside Cabin. Helton Creek Rd. ,1,36.581754,-81.519424,2017,US-VA
731,Snowy Egret,Egretta thula,2017-09-26 10:00,Chinco Wallops marsh,10,37.9519091,-75.4307995,2017,US-VA
732,Little Blue Heron,Egretta caerulea,2017-09-26 10:00,Chinco Wallops marsh,5,37.9519091,-75.4307995,2017,US-VA
733,White Ibis,Eudocimus albus,2017-09-26 10:00,Chinco Wallops marsh,50,37.9519091,-75.4307995,2017,US-VA
734,Gray-cheeked Thrush,Catharus minimus,2017-09-26 09:41,High Bridge Trail SP--Osborne Road Access,1,37.30911,-78.382189,2017,US-VA
735,Black-throated Green Warbler,Setophaga virens,2017-09-26 09:40,Augusta Springs Wetlands Trail,2,38.107699,-79.3121266,2017,US-VA
736,Scarlet Tanager,Piranga olivacea,2017-09-26 09:40,Augusta Springs Wetlands Trail,1,38.107699,-79.3121266,2017,US-VA
737,Green Heron,Butorides virescens,2017-09-26 09:34,Stonegate Scenic Easement,1,38.8339705,-77.1068358,2017,US-VA
738,Blue-headed Vireo,Vireo solitarius,2017-09-26 09:30,Blue Ridge Parkway--Rocky Knob Campground & District Office,2,36.8328661,-80.3466139,2017,US-VA
739,Red-eyed Vireo,Vireo olivaceus,2017-09-26 09:30,Montgomery Hall Park,1,38.1433381,-79.0964127,2017,US-VA
740,Swainson's Thrush,Catharus ustulatus,2017-09-26 09:30,Blue Ridge Parkway--Rocky Knob Campground & District Office,3,36.8328661,-80.3466139,2017,US-VA
741,Tennessee Warbler,Leiothlypis peregrina,2017-09-26 09:30,Blue Ridge Parkway--Rocky Knob Campground & District Office,3,36.8328661,-80.3466139,2017,US-VA
742,Nashville Warbler,Leiothlypis ruficapilla,2017-09-26 09:30,Montgomery Hall Park,1,38.1433381,-79.0964127,2017,US-VA
743,Common Merganser,Mergus merganser,2017-09-26 09:24,Shenandoah University River Campus at Cool Spring Battlefield,13,39.1353407,-77.8688514,2017,US-VA
744,Red-headed Woodpecker,Melanerpes erythrocephalus,2017-09-26 09:24,Shenandoah University River Campus at Cool Spring Battlefield,1,39.1353407,-77.8688514,2017,US-VA
745,Hooded Warbler,Setophaga citrina,2017-09-26 09:04,Compton Mountain,1,37.288612,-81.902504,2017,US-VA
746,Bay-breasted Warbler,Setophaga castanea,2017-09-26 09:04,Compton Mountain,2,37.288612,-81.902504,2017,US-VA
747,Yellow-crowned Night-Heron,Nyctanassa violacea,2017-09-26 09:00,Gosnold's Hope Park,2,37.0693,-76.3317,2017,US-VA
748,Sharp-shinned Hawk,Accipiter striatus,2017-09-26 08:30,New Quarter Park,1,37.2936522,-76.6451097,2017,US-VA
749,Barred Owl,Strix varia,2017-09-26 08:30,New Quarter Park,1,37.2936522,-76.6451097,2017,US-VA
750,White-eyed Vireo,Vireo griseus,2017-09-26 08:30,New Quarter Park,1,37.2936522,-76.6451097,2017,US-VA
751,Yellow-bellied Sapsucker,Sphyrapicus varius,2017-09-26 08:15,Frying Pan Farm Park,1,38.9358202,-77.4025762,2017,US-VA
752,woodpecker sp.,Picidae sp.,2017-09-26 08:15,Greenfield,2,37.0621272,-78.5853164,2017,US-VA
753,Brown-headed Cowbird,Molothrus ater,2017-09-26 08:15,Greenfield,1,37.0621272,-78.5853164,2017,US-VA
754,passerine sp.,Passeriformes sp.,2017-09-26 08:15,Greenfield,2,37.0621272,-78.5853164,2017,US-VA
755,Black-crowned Night-Heron,Nycticorax nycticorax,2017-09-26 08:10,Swope Area,1,38.1518374,-79.2049026,2017,US-VA
756,Northern Harrier,Circus hudsonius,2017-09-26 08:10,Swope Area,1,38.1518374,-79.2049026,2017,US-VA
757,Savannah Sparrow,Passerculus sandwichensis,2017-09-26 08:10,Swope Area,26,38.1518374,-79.2049026,2017,US-VA
758,Yellow-billed Cuckoo,Coccyzus americanus,2017-09-26 08:00,Pandapas Pond Day Use Area,2,37.2817205,-80.4684591,2017,US-VA
759,Warbling Vireo,Vireo gilvus,2017-09-26 08:00,Pandapas Pond Day Use Area,1,37.2817205,-80.4684591,2017,US-VA
760,Wood Thrush,Hylocichla mustelina,2017-09-26 08:00,Mint Springs Valley Park,1,38.0826895,-78.7308598,2017,US-VA
761,Blackpoll Warbler,Setophaga striata,2017-09-26 08:00,Pandapas Pond Day Use Area,2,37.2817205,-80.4684591,2017,US-VA
762,Bay-breasted/Blackpoll Warbler,Setophaga castanea/striata,2017-09-26 08:00,Pandapas Pond Day Use Area,6,37.2817205,-80.4684591,2017,US-VA
763,Black-throated Blue Warbler,Setophaga caerulescens,2017-09-26 08:00,Pandapas Pond Day Use Area,1,37.2817205,-80.4684591,2017,US-VA
764,Red-winged Blackbird,Agelaius phoeniceus,2017-09-26 07:54,**HUNTLEY MEADOWS PARK,15,38.7576451,-77.0984124,2017,US-VA
765,Rusty Blackbird,Euphagus carolinus,2017-09-26 07:54,**HUNTLEY MEADOWS PARK,2,38.7576451,-77.0984124,2017,US-VA
766,Yellow-rumped Warbler,Setophaga coronata,2017-09-26 07:54,**HUNTLEY MEADOWS PARK,2,38.7576451,-77.0984124,2017,US-VA
767,Carolina/Black-capped Chickadee,Poecile carolinensis/atricapillus,2017-09-26 07:45,Davis-Mills Farm,2,38.980228,-78.535995,2017,US-VA
768,Lincoln's Sparrow,Melospiza lincolnii,2017-09-26 07:45,Davis-Mills Farm,1,38.980228,-78.535995,2017,US-VA
769,sparrow sp.,Passerellidae sp. (sparrow sp.),2017-09-26 07:40,"Culpeper County, VA - Curling Creek Farm, Rixeyville, VA",5,38.5756822,-78.1044245,2017,US-VA
770,Black-bellied Plover,Pluvialis squatarola,2017-09-26 07:38,**BACK BAY NWR,3,36.672127,-75.915661,2017,US-VA
771,American Golden-Plover,Pluvialis dominica,2017-09-26 07:38,**BACK BAY NWR,2,36.672127,-75.915661,2017,US-VA
772,Greater Yellowlegs,Tringa melanoleuca,2017-09-26 07:38,**BACK BAY NWR,1,36.672127,-75.915661,2017,US-VA
773,Willet,Tringa semipalmata,2017-09-26 07:38,**BACK BAY NWR,1,36.672127,-75.915661,2017,US-VA
774,Lesser Yellowlegs,Tringa flavipes,2017-09-26 07:38,**BACK BAY NWR,2,36.672127,-75.915661,2017,US-VA
775,duck sp.,Anatinae sp.,2017-09-26 07:34,John J. Radcliffe Conservation Area & Appomattox River Canoe Launch,2,37.2190154,-77.5232756,2017,US-VA
776,Sharp-shinned/Cooper's Hawk,Accipiter striatus/cooperii,2017-09-26 07:10,Clifton Institute (restricted access),1,38.7835073,-77.8024668,2017,US-VA
777,hawk sp.,Accipitridae sp. (hawk sp.),2017-09-26 07:10,Clifton Institute (restricted access),2,38.7835073,-77.8024668,2017,US-VA
778,crow sp.,Corvus sp. (crow sp.),2017-09-26 07:10,Clifton Institute (restricted access),4,38.7835073,-77.8024668,2017,US-VA
779,Blackburnian Warbler,Setophaga fusca,2017-09-26 07:10,Ashby Pond Conservancy Site,1,38.8481892,-77.2860584,2017,US-VA
780,Red-breasted Nuthatch,Sitta canadensis,2017-09-26 07:08,Grayson Highlands State Park,1,36.6238689,-81.4998436,2017,US-VA
781,Dark-eyed Junco,Junco hyemalis,2017-09-26 07:08,Grayson Highlands State Park,4,36.6238689,-81.4998436,2017,US-VA
782,Accipiter sp.,Accipiter sp.,2017-09-26 07:05,Flint Hill and Oak Marr,1,38.872993,-77.321434,2017,US-VA
783,Trumpeter Swan,Cygnus buccinator,2017-09-26 07:00,Clifton Institute (restricted access),3,38.7835073,-77.8024668,2017,US-VA
784,Broad-winged Hawk,Buteo platypterus,2017-09-26 06:00,Kiptopeke Hawkwatch,7,37.16378,-75.97667,2017,US-VA
785,Merlin,Falco columbarius,2017-09-26 06:00,Kiptopeke Hawkwatch,50,37.16378,-75.97667,2017,US-VA
786,Great Horned Owl,Bubo virginianus,2017-09-26 05:10,"My Yard (Georgia Street, Blacksburg, VA)",1,37.2494268,-80.4072618,2017,US-VA
787,Mallard x American Black Duck (hybrid),Anas platyrhynchos x rubripes,2016-09-26 19:00,Don's Seafood Restaurant,4,37.9158312,-75.3901577,2016,US-VA
788,Mallard/American Black Duck,Anas platyrhynchos/rubripes,2016-09-26 19:00,Don's Seafood Restaurant,12,37.9158312,-75.3901577,2016,US-VA
789,Mourning Dove,Zenaida macroura,2016-09-26 18:55,Harvey street,1,37.1327313,-80.5736285,2016,US-VA
790,Chimney Swift,Chaetura pelagica,2016-09-26 18:55,Harvey street,42,37.1327313,-80.5736285,2016,US-VA
791,Blue Jay,Cyanocitta cristata,2016-09-26 18:55,Harvey street,1,37.1327313,-80.5736285,2016,US-VA
792,Carolina Wren,Thryothorus ludovicianus,2016-09-26 18:55,Harvey street,1,37.1327313,-80.5736285,2016,US-VA
793,American Robin,Turdus migratorius,2016-09-26 18:55,Harvey street,4,37.1327313,-80.5736285,2016,US-VA
794,Song Sparrow,Melospiza melodia,2016-09-26 18:55,Harvey street,1,37.1327313,-80.5736285,2016,US-VA
795,Northern Cardinal,Cardinalis cardinalis,2016-09-26 18:55,Harvey street,1,37.1327313,-80.5736285,2016,US-VA
796,Laughing Gull,Leucophaeus atricilla,2016-09-26 18:28,Clark Yard - Windsor Pt,4,36.8876529,-76.2729961,2016,US-VA
797,Herring Gull,Larus argentatus,2016-09-26 18:28,Clark Yard - Windsor Pt,2,36.8876529,-76.2729961,2016,US-VA
798,Great Egret,Ardea alba,2016-09-26 18:28,Clark Yard - Windsor Pt,17,36.8876529,-76.2729961,2016,US-VA
799,Osprey,Pandion haliaetus,2016-09-26 18:28,Clark Yard - Windsor Pt,1,36.8876529,-76.2729961,2016,US-VA
800,Belted Kingfisher,Megaceryle alcyon,2016-09-26 18:28,Clark Yard - Windsor Pt,1,36.8876529,-76.2729961,2016,US-VA
801,American Crow,Corvus brachyrhynchos,2016-09-26 18:28,Clark Yard - Windsor Pt,1,36.8876529,-76.2729961,2016,US-VA
802,Northern Mockingbird,Mimus polyglottos,2016-09-26 18:28,Clark Yard - Windsor Pt,1,36.8876529,-76.2729961,2016,US-VA
803,House Finch,Haemorhous mexicanus,2016-09-26 18:28,Clark Yard - Windsor Pt,1,36.8876529,-76.2729961,2016,US-VA
804,Eastern Towhee,Pipilo erythrophthalmus,2016-09-26 18:28,Clark Yard - Windsor Pt,1,36.8876529,-76.2729961,2016,US-VA
805,Pine Warbler,Setophaga pinus,2016-09-26 18:28,Clark Yard - Windsor Pt,1,36.8876529,-76.2729961,2016,US-VA
806,Carolina Chickadee,Poecile carolinensis,2016-09-26 18:14,Fx-Ryegate at Bradgate,1,38.7229435,-77.0749877,2016,US-VA
807,Red-bellied Woodpecker,Melanerpes carolinus,2016-09-26 18:07,Fx-Highgate from Ryegate to Wittington (.26 mi),1,38.721443,-77.073398,2016,US-VA
808,American Goldfinch,Spinus tristis,2016-09-26 18:07,Fx-Highgate from Ryegate to Wittington (.26 mi),1,38.721443,-77.073398,2016,US-VA
809,Canada Goose,Branta canadensis,2016-09-26 17:59,Cowan Lane Va,36,38.5664552,-78.7371898,2016,US-VA
810,Pileated Woodpecker,Dryocopus pileatus,2016-09-26 17:56,West Neck Creek Natural Area,2,36.7493167,-76.0536075,2016,US-VA
811,White-breasted Nuthatch,Sitta carolinensis,2016-09-26 17:56,West Neck Creek Natural Area,1,36.7493167,-76.0536075,2016,US-VA
812,Gray Catbird,Dumetella carolinensis,2016-09-26 17:45,"Home: Osceola Springs Rd, Harrisonburg, VA",2,38.3882094,-78.8622793,2016,US-VA
813,American Redstart,Setophaga ruticilla,2016-09-26 17:45,"Home: Osceola Springs Rd, Harrisonburg, VA",1,38.3882094,-78.8622793,2016,US-VA
814,Magnolia Warbler,Setophaga magnolia,2016-09-26 17:45,"Home: Osceola Springs Rd, Harrisonburg, VA",1,38.3882094,-78.8622793,2016,US-VA
815,Mallard,Anas platyrhynchos,2016-09-26 17:44,Stockton Parkway,30,38.7205722,-77.0770583,2016,US-VA
816,Ring-billed Gull,Larus delawarensis,2016-09-26 17:44,Stockton Parkway,1,38.7205722,-77.0770583,2016,US-VA
817,Great Blue Heron,Ardea herodias,2016-09-26 17:44,Stockton Parkway,4,38.7205722,-77.0770583,2016,US-VA
818,Downy Woodpecker,Dryobates pubescens,2016-09-26 17:44,Stockton Parkway,1,38.7205722,-77.0770583,2016,US-VA
819,Eastern Phoebe,Sayornis phoebe,2016-09-26 17:44,Stockton Parkway,1,38.7205722,-77.0770583,2016,US-VA
820,Double-crested Cormorant,Phalacrocorax auritus,2016-09-26 17:30,US-VA-Hopewell-Appomattox Manor Park - 37.3150x-77.2774,4,37.315049,-77.277404,2016,US-VA
821,Black Vulture,Coragyps atratus,2016-09-26 17:30,US-VA-Hopewell-Appomattox Manor Park - 37.3150x-77.2774,4,37.315049,-77.277404,2016,US-VA
822,Turkey Vulture,Cathartes aura,2016-09-26 17:30,US-VA-Hopewell-Appomattox Manor Park - 37.3150x-77.2774,2,37.315049,-77.277404,2016,US-VA
823,Northern Flicker,Colaptes auratus,2016-09-26 17:30,US-VA-Hopewell-Appomattox Manor Park - 37.3150x-77.2774,1,37.315049,-77.277404,2016,US-VA
824,White-eyed Vireo,Vireo griseus,2016-09-26 17:30,US-VA-Hopewell-Appomattox Manor Park - 37.3150x-77.2774,1,37.315049,-77.277404,2016,US-VA
825,Tufted Titmouse,Baeolophus bicolor,2016-09-26 17:30,US-VA-Hopewell-Appomattox Manor Park - 37.3150x-77.2774,1,37.315049,-77.277404,2016,US-VA
826,Eastern Bluebird,Sialia sialis,2016-09-26 17:30,US-VA-Hopewell-Appomattox Manor Park - 37.3150x-77.2774,1,37.315049,-77.277404,2016,US-VA
827,Black-and-white Warbler,Mniotilta varia,2016-09-26 17:30,US-VA-Hopewell-Appomattox Manor Park - 37.3150x-77.2774,1,37.315049,-77.277404,2016,US-VA
828,Cape May Warbler,Setophaga tigrina,2016-09-26 17:30,US-VA-Hopewell-Appomattox Manor Park - 37.3150x-77.2774,2,37.315049,-77.277404,2016,US-VA
829,Northern Parula,Setophaga americana,2016-09-26 17:30,US-VA-Hopewell-Appomattox Manor Park - 37.3150x-77.2774,2,37.315049,-77.277404,2016,US-VA
830,Yellow-rumped Warbler,Setophaga coronata,2016-09-26 17:30,US-VA-Hopewell-Appomattox Manor Park - 37.3150x-77.2774,1,37.315049,-77.277404,2016,US-VA
831,Prairie Warbler,Setophaga discolor,2016-09-26 17:30,US-VA-Hopewell-Appomattox Manor Park - 37.3150x-77.2774,1,37.315049,-77.277404,2016,US-VA
832,Scarlet Tanager,Piranga olivacea,2016-09-26 17:30,US-VA-Hopewell-Appomattox Manor Park - 37.3150x-77.2774,1,37.315049,-77.277404,2016,US-VA
833,Rose-breasted Grosbeak,Pheucticus ludovicianus,2016-09-26 17:30,"Magnolia Drive , Gloucester",1,37.4181633,-76.5293884,2016,US-VA
834,Rock Pigeon,Columba livia,2016-09-26 17:29,US-VA-Strasburg-194 W King St - 38.9898x-78.3634,9,38.989758,-78.363388,2016,US-VA
835,Red-shouldered Hawk,Buteo lineatus,2016-09-26 17:22,Mid-Lothian Mines Park--Loch Lothian,1,37.4958087,-77.6448736,2016,US-VA
836,Chipping Sparrow,Spizella passerina,2016-09-26 17:22,Mid-Lothian Mines Park--Loch Lothian,1,37.4958087,-77.6448736,2016,US-VA
837,Black-throated Blue Warbler,Setophaga caerulescens,2016-09-26 17:15,My backyard,1,39.171777,-78.1363106,2016,US-VA
838,Red-eyed Vireo,Vireo olivaceus,2016-09-26 17:10,Home,1,37.4799757,-77.6088512,2016,US-VA
839,Ruby-crowned Kinglet,Regulus calendula,2016-09-26 17:10,Home,1,37.4799757,-77.6088512,2016,US-VA
840,Ruby-throated Hummingbird,Archilochus colubris,2016-09-26 17:05,"Tucker Landing, Williamsburg",1,37.336391,-76.781712,2016,US-VA
841,Summer Tanager,Piranga rubra,2016-09-26 17:05,"Tucker Landing, Williamsburg",1,37.336391,-76.781712,2016,US-VA
842,House Sparrow,Passer domesticus,2016-09-26 16:51,My backyard,6,36.8904417,-76.2447283,2016,US-VA
843,White-throated Sparrow,Zonotrichia albicollis,2016-09-26 16:51,My backyard,1,36.8904417,-76.2447283,2016,US-VA
844,Common Grackle,Quiscalus quiscula,2016-09-26 16:51,My backyard,3,36.8904417,-76.2447283,2016,US-VA
845,Ovenbird,Seiurus aurocapilla,2016-09-26 16:51,My backyard,1,36.8904417,-76.2447283,2016,US-VA
846,Wood Duck,Aix sponsa,2016-09-26 16:30,Burke's Garden--Gose Mill Pond,1,37.12299,-81.35279,2016,US-VA
847,Bald Eagle,Haliaeetus leucocephalus,2016-09-26 16:30,Burke's Garden--Gose Mill Pond,2,37.12299,-81.35279,2016,US-VA
848,Red-breasted Nuthatch,Sitta canadensis,2016-09-26 16:30,"103 Elizabeth Court, South Boston, VA",1,36.7040983,-78.8905478,2016,US-VA
849,gull sp.,Larinae sp.,2016-09-26 16:18,Woodbridge Veterans Memorial Park,1,38.6459027,-77.2480488,2016,US-VA
850,Brown-headed Nuthatch,Sitta pusilla,2016-09-26 16:17,Huguenot Park,1,37.514764,-77.5984955,2016,US-VA
851,Brown Thrasher,Toxostoma rufum,2016-09-26 16:17,Huguenot Park,1,37.514764,-77.5984955,2016,US-VA
852,Barred Owl,Strix varia,2016-09-26 16:06,College of William and Mary,1,37.270911,-76.7148256,2016,US-VA
853,Hairy Woodpecker,Dryobates villosus,2016-09-26 16:06,College of William and Mary,1,37.270911,-76.7148256,2016,US-VA
854,Fish Crow,Corvus ossifragus,2016-09-26 16:06,College of William and Mary,1,37.270911,-76.7148256,2016,US-VA
855,House Wren,Troglodytes aedon,2016-09-26 16:06,College of William and Mary,1,37.270911,-76.7148256,2016,US-VA
856,Gray-cheeked Thrush,Catharus minimus,2016-09-26 16:06,College of William and Mary,3,37.270911,-76.7148256,2016,US-VA
857,Wood Thrush,Hylocichla mustelina,2016-09-26 16:06,College of William and Mary,1,37.270911,-76.7148256,2016,US-VA
858,Northern Waterthrush,Parkesia noveboracensis,2016-09-26 16:06,College of William and Mary,2,37.270911,-76.7148256,2016,US-VA
859,Red-headed Woodpecker,Melanerpes erythrocephalus,2016-09-26 16:00,Governor's Land,1,37.2491193,-76.820097,2016,US-VA
860,Common Yellowthroat,Geothlypis trichas,2016-09-26 16:00,Governor's Land,1,37.2491193,-76.820097,2016,US-VA
861,Black-throated Green Warbler,Setophaga virens,2016-09-26 16:00,Governor's Land,1,37.2491193,-76.820097,2016,US-VA
862,Green Heron,Butorides virescens,2016-09-26 15:48,Virginia Tech--Duck Pond,2,37.2251344,-80.4286551,2016,US-VA
863,Broad-winged Hawk,Buteo platypterus,2016-09-26 15:30,Rugby Avenue,3,38.0451508,-78.4815753,2016,US-VA
864,European Starling,Sturnus vulgaris,2016-09-26 15:30,Rugby Avenue,2,38.0451508,-78.4815753,2016,US-VA
865,Cedar Waxwing,Bombycilla cedrorum,2016-09-26 15:30,Rugby Avenue,2,38.0451508,-78.4815753,2016,US-VA
866,woodpecker sp.,Picidae sp.,2016-09-26 15:12,Fairfax Neighborhood,1,38.8582738,-77.3223352,2016,US-VA
867,crow sp.,Corvus sp. (crow sp.),2016-09-26 15:12,Fairfax Neighborhood,10,38.8582738,-77.3223352,2016,US-VA
868,passerine sp.,Passeriformes sp.,2016-09-26 15:12,Fairfax Neighborhood,20,38.8582738,-77.3223352,2016,US-VA
869,Common Raven,Corvus corax,2016-09-26 15:00,Burke's Garden--Spring Creek (MBC Pond),2,37.10142,-81.36874,2016,US-VA
870,Yellow-billed Cuckoo,Coccyzus americanus,2016-09-26 14:55,James River Park--Pony Pasture,1,37.550872,-77.5204861,2016,US-VA
871,Catharus sp.,Catharus sp.,2016-09-26 14:55,James River Park--Pony Pasture,1,37.550872,-77.5204861,2016,US-VA
872,Sanderling,Calidris alba,2016-09-26 14:07,Back Bay NWR--Beach,7,36.672564,-75.911891,2016,US-VA
873,Great Black-backed Gull,Larus marinus,2016-09-26 14:07,Back Bay NWR--Beach,13,36.672564,-75.911891,2016,US-VA
874,Caspian Tern,Hydroprogne caspia,2016-09-26 14:07,Back Bay NWR--Beach,65,36.672564,-75.911891,2016,US-VA
875,Royal Tern,Thalasseus maximus,2016-09-26 14:07,Back Bay NWR--Beach,14,36.672564,-75.911891,2016,US-VA
876,Red-tailed Hawk,Buteo jamaicensis,2016-09-26 14:07,Back Bay NWR--Beach,1,36.672564,-75.911891,2016,US-VA
877,Boat-tailed Grackle,Quiscalus major,2016-09-26 14:07,Back Bay NWR--Beach,1,36.672564,-75.911891,2016,US-VA
878,Cooper's Hawk,Accipiter cooperii,2016-09-26 14:00,Elizabeth Avenue,1,38.0473476,-78.463296,2016,US-VA
879,Brown-headed Cowbird,Molothrus ater,2016-09-26 14:00,Elizabeth Avenue,8,38.0473476,-78.463296,2016,US-VA
880,Tennessee Warbler,Leiothlypis peregrina,2016-09-26 14:00,Elizabeth Avenue,1,38.0473476,-78.463296,2016,US-VA
881,Willet,Tringa semipalmata,2016-09-26 13:57,US-VA-Cape Charles-Kiptopeke State Park - 37.1673x-75.9814,1,37.167296,-75.981446,2016,US-VA
882,Brown Pelican,Pelecanus occidentalis,2016-09-26 13:57,US-VA-Cape Charles-Kiptopeke State Park - 37.1673x-75.9814,90,37.167296,-75.981446,2016,US-VA
883,Northern Harrier,Circus hudsonius,2016-09-26 13:57,US-VA-Cape Charles-Kiptopeke State Park - 37.1673x-75.9814,2,37.167296,-75.981446,2016,US-VA
884,Sharp-shinned Hawk,Accipiter striatus,2016-09-26 13:57,US-VA-Cape Charles-Kiptopeke State Park - 37.1673x-75.9814,5,37.167296,-75.981446,2016,US-VA
885,American Kestrel,Falco sparverius,2016-09-26 13:57,US-VA-Cape Charles-Kiptopeke State Park - 37.1673x-75.9814,1,37.167296,-75.981446,2016,US-VA
886,Peregrine Falcon,Falco peregrinus,2016-09-26 13:57,US-VA-Cape Charles-Kiptopeke State Park - 37.1673x-75.9814,1,37.167296,-75.981446,2016,US-VA
887,American Black Duck,Anas rubripes,2016-09-26 13:00,Scott's Run Nature Preserve,1,38.958854,-77.2050235,2016,US-VA
888,Common Merganser,Mergus merganser,2016-09-26 13:00,Scott's Run Nature Preserve,3,38.958854,-77.2050235,2016,US-VA
889,Lesser Black-backed Gull,Larus fuscus,2016-09-26 12:33,VA-ISS-16,224,36.6748643,-75.913049,2016,US-VA
890,Northern Bobwhite,Colinus virginianus,2016-09-26 12:30,My Yard,1,36.7367862,-76.0157776,2016,US-VA
891,Eastern Wood-Pewee,Contopus virens,2016-09-26 12:30,Airlie Conference Center (Restricted Access),1,38.7572207,-77.7949297,2016,US-VA
892,Red-winged Blackbird,Agelaius phoeniceus,2016-09-26 12:30,Airlie Conference Center (Restricted Access),10,38.7572207,-77.7949297,2016,US-VA
893,Domestic goose sp. (Domestic type),Anser sp. (Domestic type),2016-09-26 12:14,US-VA-Roanoke-VA Lake restricted,1,37.273773,-80.012646,2016,US-VA
894,Pied-billed Grebe,Podilymbus podiceps,2016-09-26 12:14,US-VA-Roanoke-VA Lake restricted,1,37.273773,-80.012646,2016,US-VA
895,Philadelphia Vireo,Vireo philadelphicus,2016-09-26 12:11,James River Park--The Wetlands,1,37.5466699,-77.5098753,2016,US-VA
896,Warbling Vireo,Vireo gilvus,2016-09-26 12:11,James River Park--The Wetlands,1,37.5466699,-77.5098753,2016,US-VA
897,Swainson's Thrush,Catharus ustulatus,2016-09-26 12:11,James River Park--The Wetlands,1,37.5466699,-77.5098753,2016,US-VA
898,Baltimore Oriole,Icterus galbula,2016-09-26 12:11,James River Park--The Wetlands,1,37.5466699,-77.5098753,2016,US-VA
899,Wild Turkey,Meleagris gallopavo,2016-09-26 12:10,Sandy River Reservoir--Dam and Boat Launch Area,5,37.2571553,-78.3188939,2016,US-VA
900,Black-bellied Plover,Pluvialis squatarola,2016-09-26 12:10,VA-ISS-39,2,36.65983,-75.9047771,2016,US-VA
901,Forster's Tern,Sterna forsteri,2016-09-26 12:10,VA-ISS-39,1,36.65983,-75.9047771,2016,US-VA
902,Blue-winged Teal,Spatula discors,2016-09-26 12:00,Kiptopeke State Park,1,37.1691146,-75.9803496,2016,US-VA
903,Eastern Screech-Owl,Megascops asio,2016-09-26 12:00,Kiptopeke State Park,1,37.1691146,-75.9803496,2016,US-VA
904,Merlin,Falco columbarius,2016-09-26 12:00,Kiptopeke State Park,1,37.1691146,-75.9803496,2016,US-VA
905,Tree Swallow,Tachycineta bicolor,2016-09-26 12:00,Kiptopeke State Park,6,37.1691146,-75.9803496,2016,US-VA
906,Nashville Warbler,Leiothlypis ruficapilla,2016-09-26 11:45,Shenandoah NP--Jenkins Gap,1,38.8069665,-78.1808004,2016,US-VA
907,Blackburnian Warbler,Setophaga fusca,2016-09-26 11:45,Rockfish Gap Hawk Watch,1,38.029583,-78.858444,2016,US-VA
908,Palm Warbler,Setophaga palmarum,2016-09-26 11:45,Rockfish Gap Hawk Watch,5,38.029583,-78.858444,2016,US-VA
909,Setophaga sp.,Setophaga sp.,2016-09-26 11:45,Shenandoah NP--Jenkins Gap,2,38.8069665,-78.1808004,2016,US-VA
910,Indigo Bunting,Passerina cyanea,2016-09-26 11:32,Mt. Clinton Pike   Susan's place,1,38.5260603,-79.0726703,2016,US-VA
911,Blue-headed Vireo,Vireo solitarius,2016-09-26 11:30,Davis-Mills Farm,1,38.980228,-78.535995,2016,US-VA
912,Carolina/Black-capped Chickadee,Poecile carolinensis/atricapillus,2016-09-26 11:30,Davis-Mills Farm,2,38.980228,-78.535995,2016,US-VA
913,Lincoln's Sparrow,Melospiza lincolnii,2016-09-26 11:30,Davis-Mills Farm,2,38.980228,-78.535995,2016,US-VA
914,Wilson's Warbler,Cardellina pusilla,2016-09-26 11:30,Davis-Mills Farm,1,38.980228,-78.535995,2016,US-VA
915,Yellow-throated Vireo,Vireo flavifrons,2016-09-26 11:24,US-VA-Moseley-Fox lake terrace,1,37.43142,-77.697497,2016,US-VA
